OBJECTID1 *,OBJECTID,Research_Group,Date,Year,Month,Vessel,Sighting,Sight_Type,Start_Time,LocDesc,Start_Lat,Start_Long,Start_Dec_Lat,Start_Dec_Long,Depth,D_units,Species,Est_Size_Min,Est_Size_Max,Est_Size_Best,Num_Calves,Group_Type,GEX__m_,GEY__m_,Group_Beh,DOT,Other_Beh_1,Other_Beh_2,Other_Beh_3,Photos_,Est_ID,Actual_ID,Photographer_1,Series_Number_1,Frames_1,Photographer_2,Series_Number_2,Frames_2,Photographer_3,Series_Number_3,Frames_3,Comments,SHAPE *
218,273,MAKAH,18-Jun-20,2020,6,RHIB,9,SBE,12/30/1899 8:59:00 AM,Bullman,N 48 21.55,W 124 32.31,48.3591,-124.5385,27,ft,Er,<Null>,<Null>,4,,,<Null>,<Null>,Feeding,,Bubbles,,,1,4,<Null>,Jonathan Scordino,2020 Makah\20200618,20200618_JON_1659 - 20200618_JON_2595,,,,,,,"1 small whale, big barnacle scars. bubble feed, feed. White dot left has prop scars right",Point
219,336,MAKAH,2-Aug-20,2020,8,Optimistic,1,S,<Null>,Sail River,N 48 21.65,W 124 33.36,48.3608,-124.556,<Null>,,Er,6,10,8,,,<Null>,<Null>,,,,,,1,5,<Null>,Jonathan Scordino,2020 Makah\Opportunistic photos\20200802,20200802_DSC_0372 - 20200802_DSC_0460,,,,,,,,Point
220,1,CRC,1-Sep-19,2019,9,ZIP,1,,12/30/1899 11:18:00 AM,,N48 22.10,W124 33.80,48.3684,-124.5633,<Null>,m,Er,<Null>,<Null>,1,0,Single,<Null>,<Null>,Mill,,Breach,,,0,1,<Null>,John Calambokidis,,20-Jan,Jonathan Scordino,20190901,20190901_JON_9557 - 20190901_JON_9683,,,,"cats 46 164.705  ptt
John photos not in folder with JON photos",Point
221,312,MAKAH,24-Jul-20,2020,7,RHIB,2,SBE,12/30/1899 8:41:00 AM,Herda Cabin,N 48 22.04,W 124 33.76,48.3673,-124.5626,16,ft,Er,<Null>,<Null>,4,,,<Null>,<Null>,Feeding,,,,,1,5,<Null>,Jonathan Scordino,2020 Makah\20200724,20200724_JON_8522 - 20200724_JON_8940,,,,,,,,Point
222,326,MAKAH,27-Jul-20,2020,7,RHIB,17,S,12/30/1899 10:39:00 AM,,N 48 21.75,W 124 33.41,48.3625,-124.5568,29,ft,Er,1,2,2,,,<Null>,<Null>,Feeding,,Travel,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_0043 - 20200727_JON_0149,,,,,,,"recorded as 1 whale in the field, 2 rights in photos",Point
223,279,MAKAH,8-Jul-20,2020,7,RHIB,4,SBE,12/30/1899 1:53:00 PM,Sail Rock,N 48 21.67,W 124 32.78,48.3611,-124.5463,28,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,Travel,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200708,20200708_JON_4090 - 20200708_JON_4182,,,,,,,,Point
224,62,MAKAH,9-Jul-19,2019,7,RHIB,6,S,12/30/1899 3:55:00 PM,Sail River,N 48 21.78,W 124 33.41,48.363,-124.5568,30,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190709,20190709_LIZ_3229 - 20190709_LIZ_3312,Angelina Woods,20190709,20190709_ANG_6896 - 20190709_ANG_6974,Kaeden Butterfield,20190709,20190709_KAE_9692 - 20190709_KAE_9738,,Point
225,3,CRC,1-Sep-19,2019,9,ZIP,4,,12/30/1899 4:29:00 PM,,N48 17.46,W124 41.51,48.2911,-124.6918,12,m,Er,<Null>,<Null>,2,0,1+1,<Null>,<Null>,,,,,,1,2,<Null>,John Calambokidis,,44-46,Jonathan Scordino,20190901,20190901_JON_9762 - 20190901_JON_9809,,,,John photos not in folder with JON photos,Point
226,198,MAKAH,7-Nov-19,2019,11,RHIB,14,S,12/30/1899 10:20:00 AM,,N 48 22.08,W 124 43.72,48.368,-124.7286,<Null>,,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,0,<Null>,<Null>,,,,,,,,,,,Point
227,281,MAKAH,8-Jul-20,2020,7,RHIB,8,S,12/30/1899 2:38:00 PM,,N 48 20.03,W 124 28.96,48.3338,-124.4826,38,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200708,20200708_JON_4270 - 20200708_JON_4318,,,,,,,,Point
228,143,MAKAH,1-Oct-19,2019,10,RHIB,42,S,12/30/1899 1:28:00 PM,East Bodelteh,N 48 10.35,W 124 45.86,48.1725,-124.7643,<Null>,,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,2,2,Elizabeth Allyn,20191001,20191001_LIZ_9495 - 20191001_LIZ_9526,Jonathan Scordino,20191001,20191001_JON_2480 - 20191001_JON_2527,,,,,Point
229,287,MAKAH,9-Jul-20,2020,7,RHIB,26,S,12/30/1899 12:32:00 PM,Wa'atch,N 48 20.10,W 124 41.36,48.335,-124.6893,27,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200709,20200709_JON_5153 - 20200709_JON_5267,,,,,,,"super skinny, ribs visible",Point
230,345,MAKAH,25-Sep-20,2020,9,RHIB,6,SBE,12/30/1899 1:50:00 PM,Sail River,N 48 21.53,W 124 32.54,48.3588,-124.5423,29,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,Travel,,,1,2,<Null>,Elizabeth Allyn,2020 Makah\20200925,20200925_LIZ_7893 - 20200925_LIZ_8113,Jonathan Scordino,2020 Makah\20200925,20200925_JON_2474 - 20200925_JON_2645,,,,"Data sheet says 3 individuals total, 1 calf, but in photos just two presumed adults are seen, including the tagged whale. Close review needed of whale photos.",Point
231,95,MAKAH,3-Sep-19,2019,9,Blackfish,23,SBE,12/30/1899 4:43:00 PM,Guano,N 48 10.93,W 124 44.57,48.1821,-124.7428,52,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,2,2,Elizabeth Allyn,20190903,20190903_LIZ_6154 - 20190903_LIZ_6302,Jonathan Scordino,20190903,20190903_JON_0504 - 20190903_JON_0642,,,,fecal sample collected,Point
232,154,MAKAH,10-Oct-19,2019,10,RHIB,28,S,12/30/1899 1:34:00 PM,East Bodelteh,N 48 10.84,W 124 44.96,48.1806,-124.7493,59,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191010,20191010_LIZ_0526 - 20191010_LIZ_0538,Jonathan Scordino,20191010,20191010_JON_3493 - 20191010_JON_3500,,,,"Lost. One whale further offshore, one by Guano",Point
